Nome dos Professores,Código(Busca Textual)
Ana Paula Pintado Wyse,K4706066H6
Andrei de Araujo Formiga,K4760254T0
Antônio José Boness dos Santos,K4240497T0
Aparecido Jesuino de Souza,K4783219Y7
Bruno Jefferson de Sousa Pessoa,K4731627T6
Bruno Petrato Bruck,K4420886H0
Felipe Antonio Garcia Moreno,K4735356D7
Gilberto Farias de Sousa Filho,K4734611J5
Gustavo Charles Peixoto de Oliveira,K4209595D9
José Miguel Aroztegui Massera,K4113111E3
Kely Diana Villacorta Villacorta,K4139750Z6
Lucidio dos Anjos Formiga Cabral,K4728178P6
Moises Dantas dos Santos,K4744903J0
Roberto Quirino do Nascimento,K4727526H0
Sérgio de Carvalho Bezerra,K4767888D5
Tatiana Araújo Simões,K4761681T9
Teobaldo Leite Bulhões Júnior,K4327794J2
Yuri de Almeida Malheiros Barbosa,K4264378P1
Alan Kelon Oliveira de Moraes,K4737108H3
Alvaro Francisco de Castro Medeiros,K4785721D4
Carlos Alberto Nunes Machado,K4751398Y3
Carlos Eduardo Coelho Freire Batista,K4702645T2
Clauirton de Albuquerque Siebra,K4795433D9
Daniela Coelho Batista Guedes Pereira,K4797543A4
Elizabet Maria Spohr de Medeiros,K4723856J6
Danielle Rousy Dias Ricarte,K4769237D9
Derzu Omaia,K4758735Y6
Ed Porto Bezerra,K4784200Z1
Francisco de Assis Coutinho Souto,K4760252P9
Giorgia de Oliveira Mattos,K4773994P4
Glêdson Elias da Silveira,K4782320H5
Gustavo Henrique Matos Bezerra Motta,K4784786H2
Leandro Carlos de Souza,K4509046Z2
Liliane dos Santos Machado,K4701351Y7
Lincoln David Nery e Silva,K4734680Z2
Marcelo Iury de Sousa Oliveira,K4773815H5
Natasha Correia Queiroz Lino,K4760255D7
Raoni Kulesza,K4773681P3
Thaís Gaudencio do Rêgo,K4750634P9
Tiago Maritan Ugulino de Araújo,K4735156Y4
Vitor Meneghetti Ugulino de Araujo,K4420302H7
Yuska Paola Costa Aguiar,K4263619H9
Adriana Carla Damasceno,K4779892D6
Alisson Vasconcelos de Brito,K4771491H5
Anand Subramanian,K4710265H7
Andréa Vanessa Rocha,K4764833P6
Luciano Sales Barros,K4761458A7
Camila Mara Vital Barros,K4718140D4
Christian Azambuja Pagot,K4792938P3
Eudisley Gomes dos Anjos,K4188451H5
